UID,date,count,lat,lon,cumsum,gf
84012069,2020-01-22,0,28.76202069,-81.7125123,0, 0.000
84012071,2020-01-22,0,26.58410348,-81.88399313,0, 0.000
84012073,2020-01-22,0,30.45955727,-84.27491114,0, 0.000
84012081,2020-01-22,0,27.47196942,-82.31831044,0, 0.000
84012083,2020-01-22,0,29.21227113,-82.05803627,0, 0.000
84012085,2020-01-22,0,27.0772071,-80.43109784,0, 0.000
84012086,2020-01-22,0,25.6112362,-80.55170587,0, 0.000
84012091,2020-01-22,0,30.69143028,-86.59267105,0, 0.000
84012095,2020-01-22,0,28.51367621,-81.31799498,0, 0.000
84012097,2020-01-22,0,28.06312234,-81.14882926,0, 0.000
84012099,2020-01-22,0,26.64676272,-80.46536002,0, 0.000
84012101,2020-01-22,0,28.30810945,-82.40227529,0, 0.000
84012103,2020-01-22,0,27.93130349,-82.72239666,0, 0.000
84012105,2020-01-22,0,27.95027105,-81.69732947,0, 0.000
84012109,2020-01-22,0,29.90096506,-81.43589967,0, 0.000
84012111,2020-01-22,0,27.37763908,-80.47106649,0, 0.000
84012113,2020-01-22,0,30.693414500000003,-87.02458128,0, 0.000
84012115,2020-01-22,0,27.18546175,-82.33174248,0, 0.000
84012117,2020-01-22,0,28.7158582,-81.24060348,0, 0.000
84012119,2020-01-22,0,28.70181754,-82.0794267,0, 0.000
84012127,2020-01-22,0,29.05858895,-81.18263252,0, 0.000
84013015,2020-01-22,0,34.23732119,-84.83887523,0, 0.000
84013045,2020-01-22,0,33.58138199,-85.07976677,0, 0.000
84013051,2020-01-22,0,32.00043026,-81.12489526,0, 0.000
84013057,2020-01-22,0,34.24393976,-84.47431861,0, 0.000
84013059,2020-01-22,0,33.95436462,-83.37124007,0, 0.000
84013063,2020-01-22,0,33.54187245,-84.35594188,0, 0.000
84013067,2020-01-22,0,33.94243204,-84.5761255,0, 0.000
84013077,2020-01-22,0,33.35334302,-84.76129976,0, 0.000
84013089,2020-01-22,0,33.76944049,-84.22396017,0, 0.000
84013095,2020-01-22,0,31.53328528,-84.21722377,0, 0.000
84013097,2020-01-22,0,33.70291126,-84.77026156,0, 0.000
84013099,2020-01-22,0,31.32155345,-84.90255207,0, 0.000
84013113,2020-01-22,0,33.41357794,-84.49089434,0, 0.000
84013115,2020-01-22,0,34.26268279,-85.21577392,0, 0.000
84013117,2020-01-22,0,34.22604035,-84.12315129999999,0, 0.000
84013121,2020-01-22,0,33.79216944,-84.46319413,0, 0.000
84013135,2020-01-22,0,33.96044201,-84.02137802,0, 0.000
84013139,2020-01-22,0,34.32207823,-83.81896936,0, 0.000
84013151,2020-01-22,0,33.4533428,-84.14814659999999,0, 0.000
84013153,2020-01-22,0,32.45802497,-83.66879087,0, 0.000
84013177,2020-01-22,0,31.779330600000005,-84.14324253,0, 0.000
84013205,2020-01-22,0,31.22483255,-84.19381821,0, 0.000
84013215,2020-01-22,0,32.50931999,-84.87142262,0, 0.000
84013217,2020-01-22,0,33.55514538,-83.84547140000001,0, 0.000
84013223,2020-01-22,0,33.91969522,-84.86848792,0, 0.000
84013243,2020-01-22,0,31.76622818,-84.75732369,0, 0.000
84013245,2020-01-22,0,33.35777107,-82.07026432,0, 0.000
84013247,2020-01-22,0,33.65145002,-84.02202167,0, 0.000
84013261,2020-01-22,0,32.03650571,-84.19821492,0, 0.000
84013273,2020-01-22,0,31.77527543,-84.44069698,0, 0.000
84013321,2020-01-22,0,31.55162306,-83.85090513,0, 0.000
84015003,2020-01-22,0,21.45803166,-157.97121819999998,0, 0.000
84016001,2020-01-22,0,43.4526575,-116.24155159999998,0, 0.000
84016013,2020-01-22,0,43.4085812,-113.9752658,0, 0.000
84016027,2020-01-22,0,43.61970148,-116.70954990000001,0, 0.000
84017019,2020-01-22,0,40.13919438,-88.20046615,0, 0.000
84017031,2020-01-22,0,41.84144849,-87.81658794,0, 0.000
84017043,2020-01-22,0,41.85116968,-88.08642662,0, 0.000
84017089,2020-01-22,0,41.93842729,-88.42861412,0, 0.000
84017091,2020-01-22,0,41.13746989,-87.86205334,0, 0.000
84017093,2020-01-22,0,41.59081014,-88.42869583,0, 0.000
84017097,2020-01-22,0,42.3224907,-88.00367925,0, 0.000
84017111,2020-01-22,0,42.32451172,-88.45248227,0, 0.000
84017119,2020-01-22,0,38.83042506,-89.90422563,0, 0.000
84017161,2020-01-22,0,41.46613806,-90.57042164,0, 0.000
84017163,2020-01-22,0,38.46996033,-89.93063427,0, 0.000
84017197,2020-01-22,0,41.44619267,-87.97862712,0, 0.000
84017201,2020-01-22,0,42.33641854,-89.16085327,0, 0.000
84018003,2020-01-22,0,41.09194313,-85.06800636,0, 0.000
84018005,2020-01-22,0,39.20744865,-85.89558181,0, 0.000
84018011,2020-01-22,0,40.0509304,-86.46841646,0, 0.000
84018019,2020-01-22,0,38.48015445,-85.70510334,0, 0.000
84018031,2020-01-22,0,39.30712658,-85.50087166,0, 0.000
84018043,2020-01-22,0,38.32117957,-85.90385377,0, 0.000
84018047,2020-01-22,0,39.4142482,-85.06062647,0, 0.000
84018057,2020-01-22,0,40.07306535,-86.05244729,0, 0.000
84018059,2020-01-22,0,39.82304555,-85.77566351,0, 0.000
84018063,2020-01-22,0,39.76719009,-86.51037283,0, 0.000
84018081,2020-01-22,0,39.48994426,-86.10149107,0, 0.000
84018089,2020-01-22,0,41.41874274,-87.38277575,0, 0.000
84018095,2020-01-22,0,40.16143691,-85.71964711,0, 0.000
84018097,2020-01-22,0,39.78163624,-86.13826325,0, 0.000
84018105,2020-01-22,0,39.16130004,-86.52414358,0, 0.000
84018109,2020-01-22,0,39.47899078,-86.44573375,0, 0.000
84018127,2020-01-22,0,41.45986947,-87.06848888,0, 0.000
84018137,2020-01-22,0,39.10235626,-85.26212744,0, 0.000
84018141,2020-01-22,0,41.61756781,-86.29040834,0, 0.000
84019103,2020-01-22,0,41.67169354,-91.58754744,0, 0.000
84019113,2020-01-22,0,42.07923082,-91.59809485,0, 0.000
84019139,2020-01-22,0,41.48370744,-91.11216970000001,0, 0.000
84019153,2020-01-22,0,41.68679484,-93.57767461,0, 0.000
84019163,2020-01-22,0,41.63935978,-90.61959493,0, 0.000
84019183,2020-01-22,0,41.33577126,-91.71725711,0, 0.000
84020091,2020-01-22,0,38.88548175,-94.82250877,0, 0.000
84020173,2020-01-22,0,37.6842718,-97.4608198,0, 0.000
84020209,2020-01-22,0,39.11727348,-94.76378225,0, 0.000
84021059,2020-01-22,0,37.73028906,-87.09019479999999,0, 0.000
84021067,2020-01-22,0,38.0368225,-84.45576892,0, 0.000
84021111,2020-01-22,0,38.18664655,-85.65931031,0, 0.000
84022001,2020-01-22,0,30.295064899999996,-92.41419698,0, 0.000
84022005,2020-01-22,0,30.20406249,-90.91328409999998,0, 0.000
84022007,2020-01-22,0,29.89946234,-91.06461642,0, 0.000
