UID,lat,lon,FIPS
84001097,30.78472347,-88.20842409,1097
84001099,31.56729412,-87.36995001,1099
84001101,32.2206831,-86.20969272,1101
84001103,34.45500589,-86.85475946,1103
84001105,32.64048341,-87.29770589,1105
84001107,33.28094866,-88.08818103,1107
84001109,31.80396383,-85.9408295,1109
84001111,33.29526734,-85.45708831,1111
84001113,32.28725256,-85.18415324,1113
84001115,33.71902176,-86.31029372,1115
84001117,33.26879845,-86.66232561,1117
84001119,32.59117397,-88.19916205,1119
84001121,33.37823223,-86.16886178,1121
84001123,32.86698258,-85.79833053,1123
84001125,33.28726072,-87.52556818,1125
84001127,33.80270512,-87.30027177,1127
84001129,31.4092794,-88.20689944,1129
84001131,31.98773215,-87.30891118,1131
84001133,34.15030532,-87.37325922,1133
84002013,55.32222414,-161.9722021,2013
84002016,52.72541116,-110.4086433,2016
84002020,61.14998174,-149.1426986,2020
84002050,60.90980451,-159.8561831,2050
84002060,58.74513976,-156.701064,2060
84002068,63.67264044,-150.0076108,2068
84002070,59.79603738,-158.2381942,2070
84002090,64.80726247,-146.5692662,2090
84002100,59.09893571,-135.4679843,2100
84002105,58.29307365,-135.6424424,2105
84002110,58.45031811,-134.200436,2110
84002122,60.24429722,-151.5388884,2122
84002130,55.57445008,-130.975561,2130
84002150,57.65529415,-153.7493579,2150
84002158,62.1542916,-163.3967883,2158
84002164,58.62403337,-156.2140589,2164
84002170,62.31305045,-149.5741743,2170
84002180,64.90320724,-164.0353804,2180
84002185,69.31479216,-153.4836093,2185
84002188,67.04919196,-159.7503946,2188
84002195,57.13978948,-132.9540995,2195
84002198,55.76261984,-133.0511621,2198
84002220,57.24124555,-135.3206587,2220
84002230,59.56149996,-135.3337748,2230
84002240,63.87692095,-143.2127643,2240
84002261,61.47502768,-144.7126799,2261
84002275,56.3202004,-132.0583731,2275
84002282,59.8909808,-140.3601451,2282
84002290,65.50815459,-151.39073869999999,2290
84004001,35.39465006,-109.4892383,4001
84004003,31.87934684,-109.7516088,4003
84004005,35.83883429,-111.7707178,4005
84004007,33.80190085,-110.8132779,4007
84004009,32.93166885,-109.8882178,4009
84004011,33.21498827,-109.2405279,4011
84004012,33.72854224,-113.98100289999999,4012
84004013,33.34835867,-112.4918154,4013
84004015,35.70471703,-113.7577902,4015
84004017,35.3997715,-110.3218983,4017
84004019,32.0971334,-111.7890033,4019
84004021,32.90525627,-111.3449483,4021
84004023,31.52508998,-110.8479088,4023
84004025,34.59933926,-112.5538588,4025
84004027,32.76895712,-113.9066674,4027
84005001,34.29145151,-91.37277296,5001
84005003,33.19153461,-91.7698471,5003
84005005,36.28784385,-92.33782872,5005
84005007,36.33644656,-94.25680817,5007
84005009,36.3084504,-93.09374925,5009
84005011,33.46755808,-92.15980837,5011
84005013,33.55598792,-92.49974403,5013
84005015,36.3403856,-93.54270261,5015
84005017,33.26458973,-91.295392090000007,5017
84005019,34.04613432,-93.17484713,5019
84005021,36.36826212,-90.4148172,5021
84005023,35.53864922,-92.02640019,5023
84005025,33.89723187,-92.18537045,5025
84005027,33.21230701,-93.22642793,5027
84005029,35.26205537,-92.70506566,5029
84005031,35.83018283,-90.63235729,5031
84005033,35.58928601,-94.2446814,5033
84005035,35.21247318,-90.30839406,5035
84005037,35.29631396,-90.77185818,5037
84005039,33.97042763,-92.65167437,5039
84005041,33.83011025,-91.25500948,5041
84005043,33.59035001,-91.71777921,5043
84005045,35.14719007,-92.33717519,5045
84005047,35.51202821,-93.89299569,5047
84005049,36.38177105,-91.81729127,5049
84005051,34.57692074,-93.14921604,5051
84005053,34.29017991,-92.42320562,5053
84005055,36.1173546,-90.55832668,5055
84005057,33.73325583,-93.66935133,5057
84005059,34.31709259,-92.95396325,5059
84005061,34.09007427,-93.9934871,5061
84005063,35.74242707,-91.57001641,5063
84005065,36.09604046,-91.90847954,5065
84005067,35.59802983,-91.21494602,5067
84005069,34.26767081,-91.92619839,5069
84005071,35.56759135,-93.46036368,5071
84005073,33.24116713,-93.60677071,5073
84005075,36.04188196,-91.10867198,5075
84005077,34.78498904,-90.78383866,5077
84005079,33.95317155,-91.74002806,5079
84005081,33.70375665,-94.23468591,5081
