"","UID","lat","lon","FIPS"
"160",84001009,33.98210918,-86.56790593,1009
"161",84001011,32.10030533,-85.71265535,1011
"162",84001013,31.75300095,-86.68057478,1013
"163",84001015,33.77483727,-85.82630386,1015
"164",84001017,32.91360079,-85.39072749,1017
"165",84001019,34.17805983,-85.60638968,1019
"166",84001021,32.85044126,-86.7173256,1021
"167",84001023,32.02227341,-88.2656443,1023
"168",84001025,31.68099859,-87.83548597,1025
"169",84001027,33.26984193,-85.85836077,1027
"170",84001029,33.67679204,-85.52005899,1029
"171",84001031,31.39932826,-85.98901039,1031
"172",84001033,34.69847452,-87.80168544,1033
"173",84001035,31.43401703,-86.99320044,1035
"174",84001037,32.93690146,-86.24847739,1037
"175",84001039,31.2477854,-86.45050893,1039
"176",84001041,31.72941803,-86.31593104,1041
"177",84001043,34.13020303,-86.86888037,1043
"178",84001045,31.43037123,-85.61095742,1045
"179",84001047,32.32688101,-87.1086671,1047
"180",84001049,34.45946862,-85.80782906,1049
"181",84001051,32.59785413,-86.14415284,1051
"182",84001053,31.1256789,-87.15918694,1053
"183",84001055,34.04567266,-86.04051873,1055
"184",84001057,33.72076938,-87.73886638,1057
"185",84001059,34.44235334,-87.84289505,1059
"186",84001061,31.09389027,-85.83572839,1061
"187",84001063,32.85504247,-87.95684022,1063
"188",84001065,32.76039258,-87.63284988,1065
"189",84001067,31.51148016,-85.24267944,1067
"190",84001069,31.15197924,-85.29939599,1069
"191",84001071,34.78144169,-85.99750489,1071
"192",84001073,33.55554728,-86.895063,1073
"193",84001075,33.77995024,-88.09668032,1075
"194",84001077,34.90171875,-87.65624729,1077
"195",84001079,34.52041498,-87.31069453,1079
"196",84001081,32.60154883,-85.35132246,1081
"197",84001083,34.81185586,-86.98310072,1083
"198",84001085,32.1597283,-86.65158371,1085
"199",84001087,32.38759944,-85.69267724,1087
"200",84001089,34.76327133,-86.55069633,1089
"201",84001091,32.24767634,-87.78796182,1091
"202",84001093,34.13697363,-87.88704173,1093
"203",84001095,34.36975964,-86.30486727,1095
"204",84001097,30.78472347,-88.20842409,1097
"205",84001099,31.56729412,-87.36995001,1099
"206",84001101,32.2206831,-86.20969272,1101
"207",84001103,34.45500589,-86.85475946,1103
"208",84001105,32.64048341,-87.29770589,1105
"209",84001107,33.28094866,-88.08818103,1107
"210",84001109,31.80396383,-85.9408295,1109
"211",84001111,33.29526734,-85.45708831,1111
"212",84001113,32.28725256,-85.18415324,1113
"213",84001115,33.71902176,-86.31029372,1115
"214",84001117,33.26879845,-86.66232561,1117
"215",84001119,32.59117397,-88.19916205,1119
"216",84001121,33.37823223,-86.16886178,1121
"217",84001123,32.86698258,-85.79833053,1123
"218",84001125,33.28726072,-87.52556818,1125
"219",84001127,33.80270512,-87.30027177,1127
"220",84001129,31.4092794,-88.20689944,1129
"221",84001131,31.98773215,-87.30891118,1131
"222",84001133,34.15030532,-87.37325922,1133
"223",84002013,55.32222414,-161.9722021,2013
